customer_id,weight_ton,items
0065,8.088000001,
0158,0.48,
0197,0.0165,
0206,1.615276,
0208,0.0568,
0393,0.2431,
0485,0.279,
051008,0.096,
051026,0.0008,
052014,0.0576,
052205,0.202,
052211,0.197,
052304,0.202,
052484,0.101,
052961,0.1536,
053276,0.1728,
053351,0.0728,
053424,0.3536,
053508,0.101,
0654,0.28,
0688,1.074999999,
0713,0.07444,
0722,0.664604,
0982,1.358,
10060,1.36636,
10068,0.013008,
1009,1.173,
10109,0.73398,
10130,0.444604,
10144,3.179000001,
10174,0.0364,
1027,5.996000004,
1029,15.09600001,
10312,0.19074,
1032,1.079,
1040,5.662999999,
10541,0.47532,
10560,0.0126,
10586,1.2246,
10592,2.118972,
10610,2.045,
10906,0.125,
10999,0.1489,
1112,0.1978,
1158,12.723,
1160,1.729677,
12043,2.112,
12086,0.57008,
12206,0.941004,
12219,3.185440001,
12228,0.18608,
12236,0.420408,
12300,0.0842,
12334,0.2477,
12338,0.26245,
12618,0.04335,
12628,0.132999999,
12634,0.27,
12635,0.125,
12651,0.1665,
1302,0.8722,
1472,0.07728,
1598,0.06,
1670,0.2026,
1736,0.281,
1774,0.413242,
1874,0.23002,
1878,0.1256,
1917,4.489999995,
1928,0.10038,
2119,0.20616,
2178,0.0399,
2306,0.23034,
2345,0.0748,
25017,0.33406,
25115,0.44856,
25116,0.55768,
25134,0.8,
25140,0.21668,
25145,3.35485,
25185,0.6342,
25198,0.2579,
25201,0.65004,
25212,1.706432,
25214,0.3375,
25235,0.43006,
25241,0.3218,
25250,0.2987,
25257,0.098,
25267,0.1751,
25300,0.2784,
25302,0.3056,
25313,0.217636,
25319,0.4494,
25321,0.3822,
25329,0.2893,
25340,0.6059,
25349,0.5062,
25363,0.2579,
25370,0.316356,
25397,0.1422,
25412,0.400796,
25449,0.078,
25454,0.1723,
25479,0.19808,
25488,1.347,
25492,0.24,
25505,0.163,
25596,0.05529,
25603,0.1083,
25606,0.03145,
25608,0.0874,
25653,0.2269,
25665,0.818400001,
25674,0.25844,
25697,0.48,
25737,0.3028,
25774,0.378,
25821,0.91118,
25837,0.54018,
25843,0.5662,
25933,0.1517,
25996,0.30234,
26139,0.59176,
26141,0.1875,
26153,0.0772,
26275,0.140876,
26278,0.174,
26316,0.3715,
26370,0.3844,
26396,0.63,
26420,0.2507,
26537,0.384,
26547,1.24,
26639,0.4975,
26669,0.5024,
26679,1.996412,
26699,0.176,
26715,1.157016,
2677,0.139,
26774,1.0985,
26778,0.1125,
26785,1.137832,
26789,2.056031998,
26818,1.751312,
26990,0.2846,
27025,0.446400001,
27062,0.25,
27063,0.9617,
27149,0.3428,
27183,0.194554,
27197,0.1344,
27312,0.32,
27378,1.3554,
27404,0.0804,
27423,0.40615,
27504,0.06,
27528,0.898,
27540,0.306199999,
27550,0.5581,
27555,0.396216,
27562,0.4724,
27618,0.3902,
27655,1.277348,
2801,0.6308,
2802,1.5762,
2812,3.353064,
28150,0.2056,
28192,0.213799999,
28237,1.7464,
28244,0.3325,
28255,1.462388,
28264,0.332,
28274,0.176,
28275,0.219187,
28366,1.849455999,
28373,0.0748,
28394,0.0786,
28438,0.274,
28508,0.0588,
28527,0.1126,
28537,0.2114,
28583,0.106,
2861,0.1945,
28610,0.1444,
2865,0.6844,
2872,0.9514,
2880,2.818339997,
2897,0.89725,
2900,1.060000001,
2999,0.16,
30021,2.387996,
30024,0.401976,
30064,2.801618,
30086,0.078864,
30104,0.08,
30137,0.075208,
30160,0.132308,
30202,1.410636,
30215,0.2509,
30273,0.454,
30283,0.54608,
30287,0.231,
30289,2.186239998,
30301,0.1664,
30310,0.3549,
30345,0.224366,
30360,0.2307,
30368,0.256,
30369,0.3989,
30525,0.4985,
30543,0.6099,
30622,0.2531,
30628,0.48,
30725,0.437,
30768,0.5772,
30799,0.493008,
30825,1.0928,
30826,0.4355,
30868,0.1596,
30869,3.621763999,
30879,0.726914,
30886,0.037292,
30891,1.905162,
30910,1.1625,
30912,1.12,
30919,0.1957,
30964,0.56693,
30971,0.2552,
30977,0.24,
31011,0.378,
31038,0.79127,
31070,0.799,
31089,0.0758,
31093,0.1452,
31135,2.133380001,
31147,1.07742,
31148,0.996984,
31194,0.0744,
31217,0.2872,
31314,0.0264,
31358,0.1298,
31410,0.3672,
31415,0.47618,
31448,0.0838,
31485,0.0931,
31487,0.345799999,
3152,0.1798,
31535,0.292,
31556,0.121,
31568,0.355508,
31604,0.1294,
31627,0.2634,
31687,0.1776,
31693,0.0375,
31715,0.4138,
31730,0.2905,
31731,0.552644,
31756,0.47946,
31798,0.123576,
31849,0.1756,
31853,0.8852,
31880,0.1294,
31887,1.16458,
31889,1.416479999,
31892,0.279908,
31905,0.1171,
31927,0.1848,
31936,1.187012,
31974,3.438959999,
31984,0.0438,
31985,1.277484,
32030,1.1609,
32033,0.45072,
32067,0.408125,
32089,1.14343,
32105,0.1485,
32113,0.741680001,
32142,0.7366,
32153,0.4155,
32154,0.8595,
32299,0.84574,
32301,0.039,
32313,0.6086,
32316,0.2897,
32322,0.146299999,
32327,0.634092,
32340,0.96054,
32346,0.21505,
32351,0.872338,
32361,1.0708,
32387,0.4914,
32388,0.3898,
32392,1.0914,
32394,0.8747,
32396,0.861911999,
32405,1.21012,
32447,0.0546,
32452,0.81898,
32454,0.956432,
32484,0.3758,
32500,0.277999999,
32502,0.2527,
32511,0.61194,
32520,0.45392,
32630,0.0448,
32646,0.171,
32663,0.087,
32722,0.009772,
32748,1.603538,
32772,0.4561,
32782,0.093099999,
32838,1.371591999,
32850,0.5276,
32859,0.142738,
32871,0.82244,
32878,0.3075,
32882,0.91256,
32886,0.0488,
32889,0.97108,
32892,0.330406,
32914,0.1711,
32936,1.661988,
32939,0.19328,
32954,0.1432,
32975,0.0292,
33002,0.05,
33008,0.1875,
33012,0.35845,
33042,0.604068,
33046,0.2433,
33056,0.0492,
33068,0.36574,
33081,0.166,
33150,0.7945,
3319,0.332,
33228,0.619699999,
33271,0.334748,
33325,0.12104,
33368,0.6133,
33371,0.93836,
33372,0.2641,
33483,0.221,
33509,0.119,
33550,0.75462,
33551,0.68626,
33571,0.5394,
33577,0.176,
33655,0.24612,
33715,0.0808,
33740,0.3466,
33758,1.3889,
33776,0.24388,
33792,1.06542,
33795,0.0654,
33815,0.3789,
33844,0.0548,
33873,0.08,
33899,0.07548,
33902,0.3297,
33917,2.522488,
33953,0.60162,
33955,0.0071,
33973,0.5484,
33979,0.151,
33991,0.29,
34051,0.1026,
34110,0.2887,
3425,2.51584,
34278,0.02016,
34279,0.561,
34291,1.78,
34305,0.1982,
34310,0.185,
34351,0.798388,
34424,5.22,
34467,0.595,
34527,0.6552,
34568,0.8545,
34577,1.487284,
34607,0.1038,
34627,0.0968,
34638,0.07188,
34677,0.52582,
